record_class,queue_type,period_label,brand,product_category,candidate_plan,monthly_fee_hkd,broadband_speed_mbps,contract_months,gap_type,source_id,source_url,archive_url,recheck_status,disposition,recheck_scope,near_match_sources,reason,checked_at_hkt
source_gap_followup,verification_backlog,current,HKBN,home_fibre_broadband,HKBN 1000M Home Broadband Plan,109,1000,,single_source_unverified_plan_row,hkbn_home_broadband_offer,https://www.hkbn.net/personal/onlineexclusive/en/select-plan/oexbn,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,current,HKBN,home_fibre_broadband,HKBN $99 1000M + HKBN SmartHome Plus (additional quotation is required),99,1000,,single_source_unverified_plan_row,hkbn_home_broadband_offer,https://www.hkbn.net/personal/onlineexclusive/en/select-plan/oexbn,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,current,HKBN,home_fibre_broadband,HKBN 1000M Home Broadband Plan,378,1000,,single_source_unverified_plan_row,hkbn_home_broadband_offer,https://www.hkbn.net/personal/onlineexclusive/en/select-plan/oexbn,,near_match_not_equivalent,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,hkbn_home_broadband_offer (current),发现相近公开报价，但年份、合约期、住房/客户类别或套餐附加条件不一致；不能作为同一套餐的第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,current,HKBN,home_fibre_broadband,HKBN 1000M Home Broadband Plan,378,1000,,single_source_unverified_plan_row,hkbn_home_broadband_offer,https://www.hkbn.net/personal/onlineexclusive/en/select-plan/oexbn,,near_match_not_equivalent,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,hkbn_home_broadband_offer (current),发现相近公开报价，但年份、合约期、住房/客户类别或套餐附加条件不一致；不能作为同一套餐的第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,current,HKBN,home_fibre_broadband,HKBN 1000M Home Broadband Plan,218,1000,,single_source_unverified_plan_row,hkbn_home_broadband_offer,https://www.hkbn.net/personal/onlineexclusive/en/select-plan/oexbn,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,2025,3HK / Hutchison,mobile_consumer_5g,3HK 5G monthly plan guide HK$124 30GB,124,-,,single_source_unverified_plan_row,3hk_extrabux_2025_product_guide,https://www.extrabux.com/chs/guide/8516563,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,2026,SmarTone,mobile_consumer_5g,SmarTone 5G mobile plan comparison HK$129 30GB,129,-,,single_source_unverified_plan_row,smartone_quoquo_2026_mobile_plan_comparison,https://www.quoquoapp.com/index.php?id=1493&route=module%2Fapp_news1,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,2026,SmarTone,home_fibre_broadband,SmarTone 2200M broadband market_reference MoneySmart 2026 reference HK$148,148,2200,,single_source_unverified_plan_row,smartone_moneysmart_broadband_comparison_2026,https://blog.moneysmart.hk/zh-hk/credit-cards/%E5%AF%AC%E9%A0%BB-%E4%B8%8A%E7%B6%B2-%E5%85%89%E7%BA%96%E5%85%A5%E5%B1%8B-%E6%AF%94%E8%BC%83,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,2026,SmarTone,home_fibre_broadband,SmarTone 2200M broadband market_reference MoneySmart 2026 reference HK$154,154,2200,,single_source_unverified_plan_row,smartone_moneysmart_broadband_comparison_2026,https://blog.moneysmart.hk/zh-hk/credit-cards/%E5%AF%AC%E9%A0%BB-%E4%B8%8A%E7%B6%B2-%E5%85%89%E7%BA%96%E5%85%A5%E5%B1%8B-%E6%AF%94%E8%BC%83,,no_equivalent_second_source_found,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,,已复查运营商公开页、现有公开比较/媒体来源和本地来源库，未找到同品牌、同期间、同资费口径的独立第二来源。,2026-07-13T08:54:17+08:00
source_gap_followup,verification_backlog,2026,i-CABLE,home_fibre_broadband,i-CABLE 1000M broadband market_reference MoneySmart 2026 reference HK$88,88,1000,,single_source_unverified_plan_row,icable_moneysmart_broadband_comparison_2026,https://blog.moneysmart.hk/zh-hk/credit-cards/%E5%AF%AC%E9%A0%BB-%E4%B8%8A%E7%B6%B2-%E5%85%89%E7%BA%96%E5%85%A5%E5%B1%8B-%E6%AF%94%E8%BC%83,,near_match_not_equivalent,retain_as_unverified_not_formal,运营商公开页、公开比较/媒体页、现有来源库；按品牌、期间、价格、速率/数据量、合约和客户类别复核,icable_booga_2026_current_broadband_offer (2026); icable_findplanking_2022_offer_listing (2022),发现相近公开报价，但年份、合约期、住房/客户类别或套餐附加条件不一致；不能作为同一套餐的第二来源。,2026-07-13T08:54:17+08:00
